model_name,type_of_training,test_accuracy,parameter_name,parameter,timestamp,description
20221103-213539-re_train_lgb_model.pickle,re-training,0.75,20221103-213539-re_train_lgb_parameter.txt,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.10984644713678246, 'max_depth': 1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 21, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 96}",2022-11-03 21:35:10.769475,
20221103-213538-transfer_lgbm_model.pickle,transfer-learning,0.71,20221102-125449-re_train_lgb_parameter.txt,"<bound method LGBMModel.get_params of LGBMClassifier(learning_rate=0.10984644713678246, max_depth=1,               min_data_in_leaf=96, num_leaves=21)>",2022-11-03 21:35:10.769475,
,,,,,2022-11-03 21:43:15.061920,No data
20221104-011818-re_train_lgb_model.pickle,re-training,0.75,20221104-011818-re_train_lgb_parameter.txt,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.19892037526289616, 'max_depth': 5, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 58, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 65}",2022-11-04 01:17:56.591815,
20221104-011818-transfer_lgbm_model.pickle,transfer-learning,0.71,20221102-125449-re_train_lgb_parameter.txt,"<bound method LGBMModel.get_params of LGBMClassifier(learning_rate=0.10984644713678246, max_depth=1,               min_data_in_leaf=96, num_leaves=21)>",2022-11-04 01:17:56.591815,
,,,,,2022-11-04 09:53:51.156415,No data
20221104-095840-re_train_lgb_model.pickle,re-training,0.73,20221104-095840-re_train_lgb_parameter.txt,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.7952131496838724, 'max_depth': 16, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 28, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 95}",2022-11-04 09:58:14.322508,
20221104-095840-transfer_lgbm_model.pickle,transfer-learning,0.71,20221102-125449-re_train_lgb_parameter.txt,"<bound method LGBMModel.get_params of LGBMClassifier(learning_rate=0.10984644713678246, max_depth=1,               min_data_in_leaf=96, num_leaves=21)>",2022-11-04 09:58:14.322508,
20221104-143920-transfer_lgbm_model.pickle,transfer-learning,0.87,20221102-125449-re_train_lgb_parameter.txt,"<bound method LGBMModel.get_params of LGBMClassifier(learning_rate=0.10984644713678246, max_depth=1,               min_data_in_leaf=96, num_leaves=21)>",2022-11-04 14:38:58.002898,Best model
20221104-143920-re_train_lgb_model.pickle,re-training,0.54,20221104-143920-re_train_lgb_parameter.txt,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.10984644713678246, 'max_depth': 1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 21, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 96}",2022-11-04 14:38:58.002898,
20221104-145946-re_train_lgb_model.pickle,re-training,0.68,20221104-145946-re_train_lgb_parameter.txt,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.10984644713678246, 'max_depth': 1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 21, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 96}",2022-11-04 14:59:25.727762,
20221104-145946-transfer_lgbm_model.pickle,transfer-learning,0.68,20221102-125449-re_train_lgb_parameter.txt,"<bound method LGBMModel.get_params of LGBMClassifier(learning_rate=0.10984644713678246, max_depth=1,               min_data_in_leaf=96, num_leaves=21)>",2022-11-04 14:59:25.727762,
20221104-150620-re_train_lgb_model.pickle,re-training,0.75,20221104-150620-re_train_lgb_parameter.txt,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.10984644713678246, 'max_depth': 1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 21, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 96}",2022-11-04 15:05:56.034367,
20221104-150620-transfer_lgbm_model.pickle,transfer-learning,0.71,20221102-125449-re_train_lgb_parameter.txt,"<bound method LGBMModel.get_params of LGBMClassifier(learning_rate=0.10984644713678246, max_depth=1,               min_data_in_leaf=96, num_leaves=21)>",2022-11-04 15:05:56.034367,
